DATE,MODE,PARTICULARS,DEPOSITS,WITHDRAWALS,BALANCE
01-03-2022,,NO SPEND ,0,0,2809.47
01-03-2022,,GENRAL LEISURE,0,15,2794.47
01-03-2022,,GENRAL LEISURE,0,50,2744.47
02-03-2022,,GENRAL LEISURE,0,12,2732.47
02-03-2022,,FUN,0,120,2612.47
02-03-2022,,NO SPEND ,3900,0,6512.47
03-03-2022,,FUN,0,649,5863.47
03-03-2022,,GENRAL LEISURE,0,30,5833.47
03-03-2022,,INTERNET SERVICE ,0,826.81,5006.66
04-03-2022,,GENRAL LEISURE,0,50,4956.66
05-03-2022,,FOOD,0,160,4796.66
05-03-2022,,GENRAL LEISURE,0,35,4761.66
05-03-2022,,FOOD,0,110,4651.66
07-03-2022,,GENRAL LEISURE,0,30,4621.66
07-03-2022,,GENRAL LEISURE,0,12,4609.66
07-03-2022,,LIC,0,3984,625.66
07-03-2022,,GENRAL LEISURE,0,40,585.66
08-03-2022,,GENRAL LEISURE,0,50,535.66
09-03-2022,,NO SPEND ,700,0,1235.66
09-03-2022,,REVERSAL,0,700,535.66
09-03-2022,,GENRAL LEISURE,0,12,523.66
09-03-2022,,REVERSAL,0,220,303.66
09-03-2022,,REVERSAL,0,200,103.66
10-03-2022,,GENRAL LEISURE,0,50,53.66
10-03-2022,,GENRAL LEISURE,0,20,33.66
11-03-2022,,NO SPEND ,1500,0,1533.66
11-03-2022,,AMAZON PURCHASE ,0,1294,239.66
14-03-2022,,GENRAL LEISURE,0,12,227.66
14-03-2022,,FUN,0,120,107.66
21-03-2022,,GENRAL LEISURE,0,60,47.66
25-03-2022,,GENRAL LEISURE,0,30,17.66
28-03-2022,NET BANKING,IDK,0,1,16.66
28-03-2022,NET BANKING,IDK,0,1,15.66
28-03-2022,NET BANKING,IDK,0,1,14.66
30-03-2022,,NO SPEND ,13,0,27.66
